party,Locality_name,Locality_symbol,Can_vote,voters,Proper_votes,number_of_votes,hebrew_party_name,english_party_name,year
other,רמת דוד,135,NA,239,238,16,other,other,2006
other,יד בנימין,577,NA,121,121,6,other,other,2006
other,ורדון,1133,NA,110,110,3,other,other,2006
other,גיאה,706,NA,308,308,23,other,other,2006
other,רם-און,1069,NA,350,350,36,other,other,2006
other,ביתן אהרן,252,NA,465,454,29,other,other,2006
other,אניעם,4012,NA,159,158,26,other,other,2006
other,אבטליון,1275,NA,113,112,9,other,other,2006
other,נחשולים,433,NA,262,261,26,other,other,2006
other,רמת רחל,127,NA,225,223,11,other,other,2006
other,מעלה מכמש,3651,NA,525,525,59,other,other,2006
other,מבוא ביתר,771,NA,167,166,8,other,other,2006
other,כפר הנגיד,582,NA,483,478,28,other,other,2006
other,רמת הכובש,184,NA,418,415,22,other,other,2006
other,יד חנה,758,NA,116,115,14,other,other,2006
other,זבדיאל,815,NA,242,238,1,other,other,2006
other,גיבתון,196,NA,165,165,14,other,other,2006
other,רמות,4702,NA,286,284,34,other,other,2006
other,ביתר עילית,3780,NA,7837,7779,365,other,other,2006
other,אסד (שבט),960,NA,102,97,4,other,other,2006
other,אביאל,679,NA,250,249,29,other,other,2006
other,נחשון,777,NA,243,240,10,other,other,2006
other,רנן,789,NA,131,129,2,other,other,2006
other,מעלה עירון,1327,NA,2820,2776,69,other,other,2006
other,מבוא דותן,3569,NA,125,125,12,other,other,2006
other,כפר הנוער הדתי,890,NA,36,36,3,other,other,2006
other,רמת השופט,335,NA,327,325,19,other,other,2006
other,יד מרדכי,358,NA,423,422,27,other,other,2006
other,זוהר,44,NA,171,170,2,other,other,2006
other,גיזו,1043,NA,73,73,8,other,other,2006
other,רמות השבים,206,NA,614,610,56,other,other,2006
other,בלפוריה,94,NA,177,175,23,other,other,2006
other,אספר,3754,NA,104,103,3,other,other,2006
other,אביבים,1115,NA,181,165,4,other,other,2006
other,נחשונים,705,NA,208,207,16,other,other,2006
other,רעים,713,NA,220,220,21,other,other,2006
other,מעלה עמוס,3653,NA,103,103,8,other,other,2006
other,מבוא חורון,3709,NA,419,419,33,other,other,2006
other,כפר הנשיא,443,NA,321,315,19,other,other,2006
other,ניר עוז,69,NA,237,236,9,other,other,2006
other,יד נתן,775,NA,180,178,18,other,other,2006
other,זיקים,584,NA,207,207,7,other,other,2006
other,גילון,1204,NA,435,431,23,other,other,2006
other,ניר אליהו,808,NA,223,221,16,other,other,2006
other,בן זכאי,760,NA,292,289,9,other,other,2006
other,אעבלין,529,NA,3855,3779,33,other,other,2006
other,אביגדור,819,NA,379,377,25,other,other,2006
other,נטועה,1147,NA,144,141,3,other,other,2006
other,רעננה,8700,NA,38216,37845,2460,other,other,2006
other,מעלה שומרון,3637,NA,308,306,25,other,other,2006
other,מבוא חמה,4204,NA,178,176,24,other,other,2006
other,כפר הס,187,NA,563,561,39,other,other,2006
other,ניר עם,348,NA,199,198,11,other,other,2006
other,"יד רמב""ם",64,NA,429,426,17,other,other,2006
other,זיתן,788,NA,407,403,11,other,other,2006
other,גילת,736,NA,408,404,5,other,other,2006
other,ניר בנים,553,NA,334,333,27,other,other,2006
other,בן עמי,712,NA,275,273,22,other,other,2006
other,אעצם (שבט),963,NA,782,761,46,other,other,2006
other,אביחיל,175,NA,606,601,37,other,other,2006
other,נטעים,174,NA,259,258,9,other,other,2006
other,רקפת,1228,NA,361,360,32,other,other,2006
other,מעלות-תרשיחא,1063,NA,9980,9635,409,other,other,2006
other,מבוא מודיעים,1141,NA,101,100,11,other,other,2006
other,"כפר הרא""ה",217,NA,501,498,29,other,other,2006
other,ניר עציון,769,NA,291,290,25,other,other,2006
other,יהוד,9400,NA,13087,12941,744,other,other,2006
other,זכרון יעקב,9300,NA,7676,7593,389,other,other,2006
other,גינוסר,262,NA,316,311,22,other,other,2006
other,ניר גלים,720,NA,292,290,9,other,other,2006
other,בן שמן (כפר נוער),1084,NA,154,154,12,other,other,2006
other,אפיק,4301,NA,147,145,8,other,other,2006
other,אביטל,2052,NA,244,240,23,other,other,2006
other,נטף,1254,NA,198,198,25,other,other,2006
other,רשפון,247,NA,542,532,59,other,other,2006
other,מענית,344,NA,312,307,19,other,other,2006
other,מבועים,1080,NA,369,369,9,other,other,2006
other,"כפר הרי""ף",888,NA,303,302,29,other,other,2006
other,ניר עקיבא,2048,NA,134,134,8,other,other,2006
other,יהל,1158,NA,82,81,12,other,other,2006
other,זכריה,799,NA,300,294,10,other,other,2006
other,גיניגר,92,NA,266,264,25,other,other,2006
other,ניר דוד (תל עמל),256,NA,412,410,30,other,other,2006
other,בן שמן (מושב),2013,NA,325,323,25,other,other,2006
other,אפיקים,176,NA,682,678,46,other,other,2006
other,אביעזר,1070,NA,215,211,14,other,other,2006
other,ניין,523,NA,323,310,32,other,other,2006
other,רשפים,437,NA,268,267,16,other,other,2006
other,מעש,230,NA,449,446,26,other,other,2006
other,מבטחים,829,NA,165,164,8,other,other,2006
other,כפר ויתקין,190,NA,884,881,74,other,other,2006
other,ניר צבי,331,NA,573,571,40,other,other,2006
other,יובל,2009,NA,204,202,13,other,other,2006
other,זמר,1290,NA,1800,1764,25,other,other,2006
other,גינתון,863,NA,347,346,30,other,other,2006
other,"ניר ח""ן",11,NA,173,173,7,other,other,2006
other,בני ברק,6100,NA,61014,60502,1028,other,other,2006
other,אפק,313,NA,272,269,12,other,other,2006
other,אבירים,1220,NA,86,86,14,other,other,2006
other,"ניל""י",3655,NA,394,391,42,other,other,2006
other,שאר ישוב,324,NA,189,188,21,other,other,2006
other,מפלסים,668,NA,300,298,24,other,other,2006
other,מבקיעים,573,NA,106,102,7,other,other,2006
other,כפר ורבורג,320,NA,426,423,26,other,other,2006
other,נירים,602,NA,242,241,14,other,other,2006
other,יובלים,1226,NA,624,623,52,other,other,2006
other,זמרת,1065,NA,147,143,2,other,other,2006
other,גיתה,1206,NA,107,106,8,other,other,2006
other,ניר יפה,165,NA,212,210,24,other,other,2006
other,בני דרום,592,NA,221,218,11,other,other,2006
other,אפרת,3650,NA,3467,3456,242,other,other,2006
other,אבן יהודה,182,NA,4806,4760,356,other,other,2006
other,ניצן,351,NA,378,376,22,other,other,2006
other,שבי ציון,282,NA,433,429,40,other,other,2006
other,מצדות יהודה,3745,NA,184,184,21,other,other,2006
other,מבשרת ציון,1015,NA,10925,10846,650,other,other,2006
other,כפר ורדים,1263,NA,2809,2783,210,other,other,2006
other,נירית,1236,NA,556,555,60,other,other,2006
other,יודפת,1112,NA,206,206,27,other,other,2006
other,זנוח,816,NA,177,177,4,other,other,2006
other,גיתית,3613,NA,100,100,4,other,other,2006
other,ניר יצחק,402,NA,347,346,13,other,other,2006
other,בני דרור,386,NA,700,689,46,other,other,2006
other,ארבל,701,NA,186,184,18,other,other,2006
other,אבן מנחם,1081,NA,192,190,4,other,other,2006
other,ניצנה (קהילת חינוך),1195,NA,153,151,24,other,other,2006
other,שבי שומרון,3571,NA,337,333,36,other,other,2006
other,מצובה,325,NA,259,258,10,other,other,2006
other,מג'דל שמס,4201,NA,95,95,3,other,other,2006
other,כפר זיתים,786,NA,180,180,8,other,other,2006
other,נירן,3620,NA,36,36,0,other,other,2006
other,יונתן,4007,NA,156,156,9,other,other,2006
other,זרועה,2064,NA,105,105,1,other,other,2006
other,גלאון,393,NA,219,217,16,other,other,2006
other,ניר ישראל,699,NA,353,348,27,other,other,2006
other,בני יהודה,4015,NA,459,456,41,other,other,2006
other,ארגמן,3598,NA,80,80,9,other,other,2006
other,אבן ספיר,783,NA,303,301,11,other,other,2006
other,ניצני עוז,851,NA,388,387,27,other,other,2006
other,שבלי - אום אל-גנם,913,NA,1199,1170,163,other,other,2006
other,מצליח,757,NA,479,469,24,other,other,2006
other,מגאר,481,NA,5041,4936,81,other,other,2006
other,"כפר חב""ד",696,NA,1714,1702,536,other,other,2006
other,נס הרים,825,NA,242,236,8,other,other,2006
other,יושיביה,803,NA,144,144,6,other,other,2006
other,זרזיר,975,NA,1576,1535,26,other,other,2006
other,גלגל,3606,NA,68,68,6,other,other,2006
other,ניר משה,2047,NA,175,175,4,other,other,2006
other,בני עטרות,448,NA,336,335,27,other,other,2006
other,ארז,714,NA,224,222,12,other,other,2006
other,אבן שמואל,400,NA,253,252,12,other,other,2006
other,ניצנים,359,NA,232,230,13,other,other,2006
other,שגב,917,NA,444,443,18,other,other,2006
other,מצפה,58,NA,77,77,5,other,other,2006
other,מגדים,689,NA,389,385,27,other,other,2006
other,כפר חושן,609,NA,281,280,8,other,other,2006
other,נס ציונה,7200,NA,15157,14918,937,other,other,2006
other,יזרעאל,452,NA,315,306,19,other,other,2006
other,זרחיה,818,NA,248,245,12,other,other,2006
other,גליל ים,346,NA,209,209,13,other,other,2006
other,כפר מנדא,510,NA,5506,5288,109,other,other,2006
other,"בני עי""ש",1066,NA,3411,3335,130,other,other,2006
other,אריאל,3570,NA,7553,7387,434,other,other,2006
other,אבני איתן,4011,NA,184,184,22,other,other,2006
other,כפר יהושע,140,NA,427,424,29,other,other,2006
other,שגב-שלום,1286,NA,1139,1112,42,other,other,2006
other,"מצפה אבי""ב",1222,NA,286,285,32,other,other,2006
other,מגדל,65,NA,581,575,26,other,other,2006
other,כפר חיטים,255,NA,181,181,14,other,other,2006
other,נעורים,186,NA,52,52,5,other,other,2006
other,יחיעם,409,NA,242,242,10,other,other,2006
other,ח'ואלד,1321,NA,120,109,0,other,other,2006
other,גלעד (אבן יצחק),369,NA,243,240,19,other,other,2006
other,כפר מנחם,274,NA,350,342,27,other,other,2006
other,בני ציון,418,NA,470,466,34,other,other,2006
other,אשבול,71,NA,155,153,2,other,other,2006
other,אבני חפץ,3793,NA,376,374,35,other,other,2006
other,כפר יונה,168,NA,5644,5549,330,other,other,2006
other,מג'ד אל-כרום,516,NA,11069,10895,136,other,other,2006
other,מצפה יריחו,3576,NA,601,601,143,other,other,2006
other,מגדל העמק,874,NA,10499,10267,479,other,other,2006
other,כפר חיים,193,NA,296,296,32,other,other,2006
other,נעלה,3787,NA,296,293,21,other,other,2006
other,יטבתה,866,NA,337,336,13,other,other,2006
other,ח'ואלד (שבט),986,NA,55,54,2,other,other,2006
other,גמזו,745,NA,425,425,25,other,other,2006
other,כפר מסריק,297,NA,403,400,18,other,other,2006
other,בני ראם,588,NA,458,457,23,other,other,2006
other,אשדוד,70,NA,86978,85164,4075,other,other,2006
other,אבשלום,1311,NA,80,73,5,other,other,2006
other,כפר יחזקאל,85,NA,359,358,36,other,other,2006
other,שדה אילן,721,NA,225,223,7,other,other,2006
other,מצפה נטופה,1190,NA,259,259,37,other,other,2006
other,מגדל עוז,3561,NA,167,166,14,other,other,2006
other,כפר חנניה,1297,NA,135,135,8,other,other,2006
other,נעמי,3713,NA,56,55,0,other,other,2006
other,"ייט""ב",3607,NA,80,79,17,other,other,2006
other,חבצלת השרון,235,NA,247,245,6,other,other,2006
other,גן הדרום,1072,NA,207,205,13,other,other,2006
other,כפר מצר,512,NA,738,721,9,other,other,2006
other,בניה,685,NA,421,417,33,other,other,2006
other,אשדות יעקב (איחוד),199,NA,294,292,16,other,other,2006
other,אדורה,3759,NA,74,73,4,other,other,2006
other,כפר יעבץ,170,NA,287,284,23,other,other,2006
other,שדה אליהו,304,NA,373,371,39,other,other,2006
other,מצפה רמון,99,NA,2072,2016,94,other,other,2006
other,מגדלים,3751,NA,51,50,3,other,other,2006
other,כפר חסידים א',112,NA,339,335,22,other,other,2006
other,נען,158,NA,778,774,52,other,other,2006
other,יכיני,811,NA,231,230,5,other,other,2006
other,חבר,1110,NA,94,93,4,other,other,2006
other,גן השומרון,225,NA,351,348,25,other,other,2006
other,כפר מרדכי,764,NA,247,247,22,other,other,2006
other,בנימינה-גבעת עדה,9800,NA,4955,4921,328,other,other,2006
other,אשדות יעקב (מאוחד),188,NA,238,236,23,other,other,2006
other,אדירים,113,NA,153,151,4,other,other,2006
other,כפר כמא,508,NA,582,548,11,other,other,2006
other,שדה אליעזר,861,NA,287,286,21,other,other,2006
other,מצפה שלם,3610,NA,73,72,7,other,other,2006
other,מגידו,586,NA,199,197,9,other,other,2006
other,כפר חסידים ב',889,NA,88,86,8,other,other,2006
other,נצאצרה (שבט),1041,NA,29,25,1,other,other,2006
other,ינוב,753,NA,358,356,22,other,other,2006
other,חברון,1983,NA,225,225,81,other,other,2006
other,גן חיים,239,NA,362,360,28,other,other,2006
other,כפר נטר,316,NA,378,378,35,other,other,2006
other,"בסמ""ה",1326,NA,1834,1743,28,other,other,2006
other,אשחר,1188,NA,206,205,15,other,other,2006
other,אדמית,1068,NA,76,76,2,other,other,2006
other,כפר כנא,509,NA,6055,5866,45,other,other,2006
other,שדה בוקר,885,NA,290,290,13,other,other,2006
other,מצר,648,NA,280,278,20,other,other,2006
other,מגל,375,NA,343,342,19,other,other,2006
other,כפר חרוב,4004,NA,136,136,21,other,other,2006
other,נצר סרני,435,NA,387,383,15,other,other,2006
other,ינון,2011,NA,373,368,11,other,other,2006
other,חגור,717,NA,350,341,18,other,other,2006
other,גן יאשיה,734,NA,303,300,19,other,other,2006
other,כפר סאלד,345,NA,277,275,43,other,other,2006
other,בסמת טבעון,944,NA,1517,1464,36,other,other,2006
other,אשכולות,3722,NA,80,80,2,other,other,2006
other,אדרת,1123,NA,232,228,14,other,other,2006
other,כפר מונש,387,NA,396,392,29,other,other,2006
other,שדה דוד,36,NA,185,181,6,other,other,2006
other,מקווה ישראל,22,NA,130,128,4,other,other,2006
other,מגן,695,NA,284,284,5,other,other,2006
other,כפר טרומן,673,NA,350,347,37,other,other,2006
other,נצרת,7300,NA,23812,23138,351,other,other,2006
other,יסוד המעלה,29,NA,646,642,57,other,other,2006
other,חגי,3764,NA,163,163,14,other,other,2006
other,גן יבנה,166,NA,5988,5941,328,other,other,2006
other,כפר סבא,6900,NA,44056,43507,2803,other,other,2006
other,בצרה,389,NA,429,426,48,other,other,2006
other,אשל הנשיא,2021,NA,68,66,0,other,other,2006
other,אודים,446,NA,411,410,38,other,other,2006
other,כפר מימון,1095,NA,278,275,12,other,other,2006
other,שדה ורבורג,284,NA,538,535,26,other,other,2006
other,מרגליות,843,NA,122,120,2,other,other,2006
other,מגן שאול,1155,NA,139,136,14,other,other,2006
other,כפר יאסיף,507,NA,3888,3820,24,other,other,2006
other,נצרת עילית,1061,NA,20718,20021,1104,other,other,2006
other,יסודות,440,NA,204,202,1,other,other,2006
other,חגלה,205,NA,304,304,32,other,other,2006
other,גן נר,1274,NA,947,942,73,other,other,2006
other,כפר סילבר,107,NA,52,51,1,other,other,2006
other,בצת,589,NA,166,163,12,other,other,2006
other,אשלים,1152,NA,105,104,5,other,other,2006
other,אודם,4010,NA,46,46,6,other,other,2006
other,"כפר מל""ל",98,NA,217,216,18,other,other,2006
other,שדה יואב,293,NA,137,137,5,other,other,2006
other,מרום גולן,4101,NA,254,252,24,other,other,2006
other,מגשימים,722,NA,383,380,33,other,other,2006
other,כפר ידידיה,233,NA,287,287,24,other,other,2006
other,נשר,2500,NA,10225,10038,593,other,other,2006
other,יסעור,575,NA,181,180,7,other,other,2006
other,חד-נס,4026,NA,178,177,28,other,other,2006
other,גן שורק,311,NA,152,151,8,other,other,2006
other,כפר סירקין,249,NA,543,535,47,other,other,2006
other,בקוע,864,NA,268,261,7,other,other,2006
other,אשקלון,7100,NA,45070,44080,2155,other,other,2006
other,אוהד,1046,NA,140,140,6,other,other,2006
other,דבורייה,489,NA,2681,2641,21,other,other,2006
other,שדה יעקב,142,NA,285,284,27,other,other,2006
other,מרחביה (מושב),97,NA,338,337,28,other,other,2006
other,מדרך עוז,2029,NA,261,261,10,other,other,2006
other,געתון,463,NA,267,266,13,other,other,2006
other,נתיב הגדוד,3555,NA,74,74,9,other,other,2006
other,יעד,1138,NA,291,291,24,other,other,2006
other,חדיד,618,NA,259,256,10,other,other,2006
other,גן שלמה,144,NA,271,270,35,other,other,2006
other,כפר עזה,845,NA,416,415,25,other,other,2006
other,בקעות,3612,NA,87,86,3,other,other,2006
other,אשרת,1256,NA,217,215,12,other,other,2006
other,אום אל-פחם,2710,NA,12584,12296,162,other,other,2006
other,דבירה,849,NA,218,218,15,other,other,2006
other,שדה יצחק,2008,NA,189,187,26,other,other,2006
other,מרחביה (קיבוץ),66,NA,331,329,24,other,other,2006
other,מדרשת בן גוריון,1140,NA,395,394,29,other,other,2006
other,גפן,39,NA,143,141,7,other,other,2006
other,"נתיב הל""ה",693,NA,232,230,12,other,other,2006
other,יערה,795,NA,259,258,8,other,other,2006
other,חדרה,6500,NA,32385,31811,1915,other,other,2006
other,גן שמואל,72,NA,613,611,44,other,other,2006
other,כפר עציון,3488,NA,261,258,18,other,other,2006
other,בר גיורא,823,NA,204,202,15,other,other,2006
other,אשתאול,740,NA,348,341,23,other,other,2006
other,אום אל-קוטוף,2024,NA,229,226,4,other,other,2006
other,דברת,407,NA,170,169,20,other,other,2006
other,שדה משה,18,NA,199,199,14,other,other,2006
other,מרכז שפירא,1098,NA,957,954,34,other,other,2006
other,מודיעין-מכבים-רעות,1200,NA,25732,25562,1545,other,other,2006
other,גרופית,1129,NA,155,154,10,other,other,2006
other,נתיב העשרה,1242,NA,362,360,33,other,other,2006
other,יפיע,499,NA,3998,3890,41,other,other,2006
other,חולדה,160,NA,193,192,17,other,other,2006
other,גנות,836,NA,227,226,12,other,other,2006
other,כפר פינס,189,NA,236,234,8,other,other,2006
other,בר יוחאי,1191,NA,181,179,15,other,other,2006
other,באקה אל-גרביה,6000,NA,7880,7623,118,other,other,2006
other,אום בטין,1358,NA,117,114,6,other,other,2006
other,דגניה א',62,NA,333,331,20,other,other,2006
other,שדה נחום,259,NA,159,159,11,other,other,2006
other,משאבי שדה,421,NA,285,284,21,other,other,2006
other,מודיעין עילית,3797,NA,10640,10564,63,other,other,2006
other,גשור,4022,NA,109,106,13,other,other,2006
other,נתיב השיירה,792,NA,232,229,8,other,other,2006
other,יפית,3566,NA,45,44,4,other,other,2006
other,חולון,6600,NA,83250,81857,3812,other,other,2006
other,גנות הדר,549,NA,297,293,15,other,other,2006
other,כפר קאסם,634,NA,7693,7618,23,other,other,2006
other,ברור חיל,428,NA,272,271,8,other,other,2006
other,באר טוביה,155,NA,429,426,27,other,other,2006
other,אומן,1108,NA,136,133,8,other,other,2006
other,דגניה ב',79,NA,300,299,18,other,other,2006
other,שדה נחמיה,329,NA,230,230,22,other,other,2006
other,משגב דב,765,NA,276,276,30,other,other,2006
other,מולדת,269,NA,376,376,12,other,other,2006
other,גשר,305,NA,302,297,23,other,other,2006
other,נתיבות,246,NA,10181,10014,316,other,other,2006
other,יפעת,134,NA,447,441,33,other,other,2006
other,חולתה,253,NA,244,243,29,other,other,2006
other,גני הדר,1103,NA,119,118,7,other,other,2006
other,כפר קיש,388,NA,138,138,14,other,other,2006
other,ברוש,2060,NA,125,125,2,other,other,2006
other,באר יעקב,2530,NA,3184,3136,301,other,other,2006
other,אומץ,680,NA,221,219,13,other,other,2006
other,"דוב""ב",1067,NA,179,177,3,other,other,2006
other,שדה ניצן,1058,NA,159,159,8,other,other,2006
other,משגב עם,378,NA,111,110,9,other,other,2006
other,מוצא עילית,208,NA,456,453,26,other,other,2006
other,גשר הזיו,574,NA,440,435,32,other,other,2006
other,נתניה,7400,NA,78084,76614,5268,other,other,2006
other,יפתח,453,NA,297,295,18,other,other,2006
other,חוסן,662,NA,348,347,12,other,other,2006
other,גני יוחנן,862,NA,291,289,18,other,other,2006
other,כפר קרע,654,NA,5445,5365,283,other,other,2006
other,ברכה,3710,NA,469,466,26,other,other,2006
other,באר שבע,9000,NA,73722,72178,3080,other,other,2006
other,אופקים,31,NA,9521,9361,249,other,other,2006
other,דולב,3747,NA,410,409,23,other,other,2006
other,שדה עוזיהו,739,NA,394,393,35,other,other,2006
other,משהד,520,NA,2019,1975,18,other,other,2006
other,מוקייבלה,635,NA,1005,965,18,other,other,2006
other,גת (קיבוץ),340,NA,245,245,12,other,other,2006
other,סאג'ור,525,NA,1271,1264,16,other,other,2006
other,יצהר,3749,NA,232,232,142,other,other,2006
other,חוסנייה,1332,NA,118,112,6,other,other,2006
other,גני עם,218,NA,155,155,17,other,other,2006
other,כפר ראש הנקרה,579,NA,409,407,18,other,other,2006
other,ברכיה,746,NA,424,420,11,other,other,2006
other,בארות יצחק,450,NA,252,249,28,other,other,2006
other,אור הגנוז,1294,NA,68,68,0,other,other,2006
other,דור,738,NA,159,156,12,other,other,2006
other,שדה צבי,2049,NA,114,111,5,other,other,2006
other,משואה,3605,NA,81,81,5,other,other,2006
other,מורן,1163,NA,82,82,11,other,other,2006
other,גת רימון,128,NA,133,133,7,other,other,2006
other,סאסא,578,NA,257,256,10,other,other,2006
other,יציץ,759,NA,265,258,8,other,other,2006
other,חופית,115,NA,496,493,45,other,other,2006
other,גני תקווה,229,NA,6570,6503,333,other,other,2006
other,כפר רוזנואלד (זרעית),1130,NA,110,110,4,other,other,2006
other,ברעם,667,NA,292,290,20,other,other,2006
other,בארותיים,697,NA,342,333,29,other,other,2006
other,אור הנר,67,NA,254,250,5,other,other,2006
other,דורות,336,NA,299,298,19,other,other,2006
other,שדות ים,327,NA,414,408,46,other,other,2006
other,משואות יצחק,620,NA,353,352,20,other,other,2006
other,מורשת,1178,NA,431,431,22,other,other,2006
other,דבורה,146,NA,144,142,7,other,other,2006
other,סביון,587,NA,2034,2015,133,other,other,2006
other,יקום,417,NA,363,361,27,other,other,2006
other,חוקוק,374,NA,149,149,13,other,other,2006
other,געש,842,NA,367,364,19,other,other,2006
other,כפר רופין,295,NA,242,238,18,other,other,2006
other,ברק,141,NA,162,162,15,other,other,2006
other,בארי,399,NA,542,537,30,other,other,2006
other,אור יהודה,2400,NA,12982,12737,682,other,other,2006
other,דחי,475,NA,137,130,0,other,other,2006
other,שדות מיכה,27,NA,141,139,2,other,other,2006
other,משמר איילון,670,NA,222,221,17,other,other,2006
other,מזור,606,NA,475,472,37,other,other,2006
other,איילת השחר,77,NA,528,524,80,other,other,2006
other,סגולה,2046,NA,199,197,14,other,other,2006
other,יקיר,3647,NA,487,485,27,other,other,2006
other,חורה,1303,NA,2151,2111,21,other,other,2006
other,אחוזם,821,NA,220,216,2,other,other,2006
other,כפר רות,1166,NA,131,130,17,other,other,2006
other,ברקאי,617,NA,249,249,14,other,other,2006
other,בוסתן הגליל,559,NA,246,245,16,other,other,2006
other,אור עקיבא,1020,NA,6633,6510,243,other,other,2006
other,דייר חנא,492,NA,3467,3443,32,other,other,2006
other,שדי אברהם,1223,NA,93,93,8,other,other,2006
other,משמר דוד,563,NA,91,90,12,other,other,2006
other,מזכרת בתיה,28,NA,3922,3879,246,other,other,2006
other,אילון,294,NA,436,432,28,other,other,2006
other,סואעד (חמרייה),942,NA,33,32,2,other,other,2006
other,יקנעם (מושבה),241,NA,623,623,59,other,other,2006
other,חורפיש,496,NA,2526,2515,25,other,other,2006
other,אחוזת ברק,1330,NA,510,504,24,other,other,2006
other,כפר שמאי,605,NA,141,140,3,other,other,2006
