"userid","age","dob_day","dob_year","dob_month","gender","tenure","friend_count","friendships_initiated","likes","likes_received","mobile_likes","mobile_likes_received","www_likes","www_likes_received"
1001217,35,1,1978,1,"male",79,3,3,1,0,1,0,0,0
1001237,54,28,1959,12,"female",299,110,77,62,87,1,25,61,62
1001257,16,26,1997,4,"male",561,242,150,1,2,0,1,1,1
1001262,84,8,1929,12,"female",1154,129,50,97,24,0,11,97,13
1001289,23,5,1990,1,"male",142,12,8,7,59,0,16,7,43
1001311,19,30,1994,10,"female",624,88,70,324,216,176,59,148,157
1001316,31,3,1982,3,"male",444,361,214,24,34,24,23,0,11
1001346,19,12,1994,2,"male",26,25,21,1,0,1,0,0,0
1001347,32,20,1981,2,"female",308,68,37,20,5,20,5,0,0
1001355,15,1,1998,7,"male",148,276,249,1,19,1,13,0,6
1001381,30,19,1983,7,"female",327,16,13,23,18,23,18,0,0
1001421,20,11,1993,5,"female",466,1072,603,1049,706,277,189,772,517
1001431,40,30,1973,9,"female",1654,20,3,0,0,0,0,0,0
1001453,62,9,1951,6,"male",144,32,21,5,3,0,1,5,2
1001464,16,8,1997,12,"male",558,73,62,0,2,0,0,0,2
1001497,29,7,1984,9,"male",472,30,29,24,0,24,0,0,0
1001545,38,18,1975,3,"female",205,98,50,1087,861,1087,729,0,132
1001567,94,23,1919,1,"male",1257,59,19,4,3,4,3,0,0
1001572,36,30,1977,9,"male",539,150,99,53,105,37,58,16,47
1001577,38,24,1975,3,"male",763,236,197,71,134,17,23,54,111
1001584,51,20,1962,6,"female",61,68,49,468,376,468,326,0,50
1001592,18,1,1995,3,"male",320,332,107,3,6,3,4,0,2
1001608,44,29,1969,7,"male",345,201,111,32,35,32,27,0,8
1001629,55,10,1958,4,"female",662,9,5,2,3,2,3,0,0
1001639,48,22,1965,10,"female",87,19,16,13,16,13,7,0,9
1001641,18,3,1995,4,"female",279,437,200,1143,293,1143,192,0,101
1001650,57,23,1956,11,"female",34,90,69,411,60,410,39,1,21
1001696,60,5,1953,10,"male",1301,81,38,2,4,2,4,0,0
1001698,34,9,1979,9,"male",388,66,48,27,31,27,29,0,2
1001724,50,13,1963,4,"male",682,18,3,0,0,0,0,0,0
1001747,21,5,1992,11,"male",426,803,730,8,4,0,3,8,1
1001749,57,25,1956,10,"male",1387,148,98,0,0,0,0,0,0
1001755,60,31,1953,10,"female",1380,351,176,109,60,86,47,23,13
1001765,20,7,1993,7,"male",631,137,102,23,7,23,4,0,3
1001768,29,21,1984,5,"male",456,79,70,10,13,10,12,0,1
1001772,32,24,1981,9,"female",147,53,38,13,19,13,14,0,5
1001805,29,1,1984,1,"male",56,78,55,16,233,12,81,4,152
1001827,53,29,1960,9,"female",135,6,4,2,0,0,0,2,0
1001853,34,24,1979,7,"male",214,13,9,0,0,0,0,0,0
1001898,32,21,1981,7,"male",170,9,9,0,3,0,3,0,0
1001920,23,4,1990,6,"male",842,580,444,2,54,2,15,0,39
1001935,53,28,1960,2,"male",292,34,26,132,2,0,0,132,2
1001945,29,25,1984,8,"male",704,68,41,135,131,129,101,6,30
1002003,18,1,1995,9,"female",1136,1357,967,111,399,52,335,59,64
1002016,108,1,1905,10,"male",62,10,4,4,4,0,1,4,3
1002023,18,10,1995,3,"male",391,373,294,168,158,30,53,138,105
1002030,48,13,1965,1,"female",370,82,26,57,35,19,22,38,13
1002060,47,18,1966,9,"male",1354,18,6,0,1,0,0,0,1
1002074,63,21,1950,6,"male",914,25,13,0,0,0,0,0,0
1002101,93,10,1920,5,"female",1329,19,5,7,4,6,1,1,3
1002103,36,5,1977,12,"male",1660,9,2,0,0,0,0,0,0
1002127,73,5,1940,12,"male",184,657,503,545,358,545,245,0,113
1002128,21,27,1992,12,"male",177,267,163,2,0,2,0,0,0
1002142,20,5,1993,9,"male",200,31,16,0,0,0,0,0,0
1002224,22,2,1991,2,"female",629,132,87,101,112,101,110,0,2
1002225,21,2,1992,2,"male",237,42,40,1,0,1,0,0,0
1002232,37,4,1976,9,"male",182,34,22,239,326,239,283,0,43
1002235,33,2,1980,4,"male",10,5,4,38,3,18,0,20,3
1002303,23,25,1990,1,"male",370,107,56,0,4,0,1,0,3
1002305,27,12,1986,2,"female",276,34,27,0,0,0,0,0,0
1002340,24,28,1989,5,"male",1389,350,254,1,0,1,0,0,0
1002348,61,22,1952,11,"male",877,29,11,5,8,4,8,1,0
1002428,17,27,1996,7,"female",12,31,19,0,0,0,0,0,0
1002430,47,28,1966,7,"male",216,27,24,0,0,0,0,0,0
1002432,16,11,1997,10,"female",533,598,372,0,5,0,3,0,2
1002439,23,23,1990,5,"female",548,60,42,177,10,174,9,3,1
1002458,20,5,1993,1,"male",307,534,473,579,480,141,194,438,286
1002470,25,7,1988,7,"female",176,10,7,0,0,0,0,0,0
1002484,27,20,1986,2,"male",254,69,59,46,14,46,14,0,0
1002552,69,9,1944,12,"female",93,26,9,11,8,11,8,0,0
1002554,18,21,1995,7,"female",739,241,171,102,88,92,35,10,53
1002559,21,15,1992,9,"male",100,218,151,11,19,11,17,0,2
1002574,27,3,1986,4,"female",562,92,52,0,11,0,8,0,3
1002597,31,30,1982,8,"male",409,1,1,0,2,0,2,0,0
1002607,36,5,1977,7,"male",231,141,62,109,20,109,5,0,15
1002613,55,2,1958,11,"male",302,34,32,2,0,0,0,2,0
1002617,16,2,1997,2,"female",457,245,135,1,0,1,0,0,0
1002625,61,9,1952,3,"female",1138,268,133,307,271,0,45,307,226
1002634,19,12,1994,10,"male",475,10,7,0,0,0,0,0,0
1002661,26,14,1987,2,"female",368,162,104,61,8,61,3,0,5
1002666,25,8,1988,8,"male",188,17,16,849,281,848,114,1,167
1002679,47,8,1966,2,NA,219,46,29,35,9,35,9,0,0
1002681,64,26,1949,8,"male",2273,73,32,13,17,12,16,1,1
1002701,17,4,1996,1,"male",480,101,57,353,5,274,2,79,3
1002725,15,9,1998,10,"male",146,127,92,27,35,27,25,0,10
1002728,19,28,1994,7,"female",531,640,80,335,869,328,620,7,249
1002736,29,1,1984,2,"female",163,97,57,0,0,0,0,0,0
1002754,22,1,1991,1,"male",258,147,43,5,21,3,9,2,12
1002756,67,16,1946,7,"female",1883,65,17,283,75,0,7,283,68
1002786,22,22,1991,9,"female",402,0,0,0,0,0,0,0,0
1002803,32,31,1981,10,"male",83,47,44,50,0,10,0,40,0
1002840,32,13,1981,12,"female",239,3,1,123,53,96,42,27,11
1002882,20,10,1993,6,"female",218,31,14,11,51,11,33,0,18
1002891,61,17,1952,2,"male",473,82,69,6,8,0,5,6,3
1002894,15,10,1998,5,"male",210,1581,1271,2205,1700,230,623,1975,1077
1002945,36,5,1977,8,"male",202,43,25,7,2,7,1,0,1
1003011,21,21,1992,7,"male",272,84,60,7,4,7,4,0,0
1003066,78,13,1935,1,"female",710,26,15,5,2,5,2,0,0
1003085,40,1,1973,10,"male",272,52,49,0,0,0,0,0,0
1003098,23,1,1990,1,"male",328,1,1,0,0,0,0,0,0
1003116,18,4,1995,4,"male",355,297,199,435,277,333,125,102,152
1003118,108,1,1905,1,"female",1477,131,21,6,20,6,16,0,4
1003125,28,13,1985,5,"female",1560,188,30,85,169,85,124,0,45
1003143,29,14,1984,9,"male",809,35,25,9,2,0,0,9,2
1003156,37,25,1976,8,"female",255,128,75,224,14,224,11,0,3
1003165,56,4,1957,3,"female",1534,43,26,5,21,1,5,4,16
1003169,21,23,1992,7,"male",680,297,115,1,0,1,0,0,0
1003191,26,18,1987,3,"female",589,83,34,124,64,124,47,0,17
1003211,25,1,1988,3,"female",237,139,101,530,823,530,585,0,238
1003216,21,12,1992,5,"female",255,79,53,430,42,430,42,0,0
1003225,32,29,1981,4,"male",124,2,1,0,0,0,0,0,0
1003239,22,24,1991,11,"male",453,872,795,23,17,23,9,0,8
1003247,21,26,1992,8,"male",415,858,554,673,1742,44,1124,629,618
1003250,20,26,1993,12,"male",326,95,76,1447,237,93,82,1354,155
1003279,19,6,1994,12,"female",852,355,121,223,127,212,110,11,17
1003285,16,23,1997,7,"male",335,379,280,121,4,0,0,121,4
1003293,108,4,1905,4,"male",896,634,162,1196,349,2,117,1194,232
1003315,64,20,1949,6,"male",1001,30,17,26,9,1,6,25,3
1003323,38,16,1975,5,"male",768,21,5,1,2,1,2,0,0
1003335,13,4,2000,3,"male",57,65,55,0,0,0,0,0,0
1003353,18,24,1995,4,"male",310,109,68,32,59,4,10,28,49
1003456,103,17,1910,11,"female",1019,210,108,326,119,100,61,226,58
1003467,42,13,1971,4,"male",1673,14,6,7,1,7,0,0,1
1003481,24,22,1989,2,"female",635,471,88,65,223,65,183,0,40
1003485,37,3,1976,2,"male",911,88,30,43,1,41,1,2,0
1003495,42,7,1971,8,"male",50,90,66,197,175,197,53,0,122
1003514,18,23,1995,12,"female",110,594,124,5,6,5,6,0,0
1003518,23,11,1990,10,"female",876,422,239,1717,1736,258,1169,1459,567
1003532,18,26,1995,11,"female",84,319,141,421,254,0,50,421,204
1003537,19,10,1994,6,"female",490,224,123,0,0,0,0,0,0
1003603,21,2,1992,7,"male",104,115,96,1,1,1,0,0,1
1003606,20,7,1993,3,"female",103,528,129,1101,1708,0,381,1101,1327
1003633,49,28,1964,1,"female",288,5,1,85,63,85,39,0,24
1003641,36,4,1977,11,"female",514,83,40,18,9,18,7,0,2
1003646,19,19,1994,9,"male",84,120,96,17,3,4,2,13,1
1003679,23,16,1990,10,"female",490,594,399,1122,1216,1121,842,1,374
1003680,19,7,1994,12,"male",227,58,44,74,100,17,36,57,64
1003723,17,7,1996,1,"female",80,59,45,143,2,143,1,0,1
1003740,108,30,1905,6,"female",1032,356,270,11,19,11,12,0,7
1003770,23,30,1990,10,"female",1253,66,48,0,0,0,0,0,0
1003816,14,9,1999,1,"female",425,5,4,1,1,0,1,1,0
1003843,17,2,1996,11,"female",223,264,102,2,5,0,0,2,5
1003870,17,2,1996,4,"male",147,113,86,2,0,2,0,0,0
1003882,26,3,1987,11,"male",509,189,140,0,2,0,2,0,0
1003994,18,25,1995,11,"female",99,691,292,742,490,742,469,0,21
1004019,34,22,1979,10,"male",172,83,66,2,3,2,2,0,1
1004029,20,1,1993,7,"male",148,139,102,720,198,459,108,261,90
1004035,51,28,1962,11,"female",478,100,48,1748,2096,137,192,1611,1904
1004074,53,26,1960,7,"male",1157,8,4,5,6,4,6,1,0
1004076,66,31,1947,3,"female",126,40,25,3,29,3,25,0,4
1004142,21,17,1992,12,"female",713,307,207,4,6,0,1,4,5
1004153,38,3,1975,1,"male",345,101,71,38,5,26,3,12,2
1004162,24,20,1989,1,"female",159,41,23,291,128,291,22,0,106
1004174,18,8,1995,6,"male",258,36,26,0,1,0,1,0,0
1004177,42,17,1971,6,"male",133,16,13,4,2,4,2,0,0
1004178,57,20,1956,10,"female",1454,75,20,57,23,57,23,0,0
1004189,71,22,1942,10,"female",1716,43,14,15,7,15,7,0,0
1004238,70,14,1943,5,"male",1019,59,27,0,0,0,0,0,0
1004241,30,3,1983,1,"female",918,91,30,20,1,20,1,0,0
1004245,18,18,1995,7,"male",134,12,9,0,0,0,0,0,0
1004315,51,17,1962,4,"female",1941,162,68,248,202,220,174,28,28
1004345,37,26,1976,7,"female",268,5,4,10,0,10,0,0,0
1004361,108,9,1905,10,"male",1128,701,62,1,1,0,0,1,1
1004396,54,11,1959,11,"male",739,48,24,966,792,641,107,325,685
1004400,40,16,1973,12,"female",732,95,33,129,483,97,268,32,215
1004427,52,25,1961,7,"female",257,28,25,67,27,1,18,66,9
1004428,19,13,1994,12,"male",745,245,41,17,55,17,36,0,19
1004436,18,23,1995,12,"male",195,12,9,0,0,0,0,0,0
1004450,59,5,1954,8,"female",557,83,66,40,11,40,2,0,9
1004456,48,30,1965,8,"female",575,44,20,41,27,41,8,0,19
1004470,78,8,1935,12,"female",56,10,6,2,3,0,1,2,2
1004475,27,28,1986,11,"male",653,11,8,4,4,2,0,2,4
1004479,58,8,1955,8,"male",498,4,2,7,0,2,0,5,0
1004480,28,26,1985,7,"female",475,99,50,104,26,104,18,0,8
1004484,103,4,1910,11,"female",711,113,74,193,49,1,23,192,26
1004492,19,15,1994,2,"male",478,441,175,642,184,642,145,0,39
1004497,14,9,1999,8,"female",525,486,315,1528,1178,1150,368,378,810
1004502,95,9,1918,7,"male",1218,116,41,0,0,0,0,0,0
1004515,47,27,1966,2,"female",574,13,6,0,0,0,0,0,0
1004522,21,6,1992,7,"female",20,3,2,66,20,66,10,0,10
1004536,34,2,1979,6,"male",458,37,33,0,0,0,0,0,0
1004537,63,27,1950,1,"female",901,154,96,50,37,42,20,8,17
1004547,93,1,1920,6,"female",266,7,5,3,0,3,0,0,0
1004556,18,25,1995,10,"male",138,20,20,0,1,0,0,0,1
1004605,25,16,1988,12,"male",336,200,182,38,7,38,6,0,1
1004629,29,28,1984,12,"male",339,469,256,879,1828,189,505,690,1323
1004635,21,18,1992,4,"female",336,234,33,9,37,9,18,0,19
1004640,28,31,1985,1,"female",257,32,18,32,25,2,12,30,13
1004644,26,2,1987,9,"male",122,22,14,8,0,8,0,0,0
1004676,17,4,1996,7,"female",650,213,120,29,67,29,65,0,2
1004691,22,12,1991,5,"male",461,61,36,4,3,4,1,0,2
1004720,22,1,1991,5,"female",20,2,0,0,0,0,0,0,0
1004757,26,31,1987,12,"female",569,140,68,2,10,2,9,0,1
1004773,23,29,1990,10,"male",688,2,2,0,0,0,0,0,0
1004775,22,12,1991,12,"female",141,10,8,0,2,0,1,0,1
1004782,73,26,1940,10,"female",1098,24,16,23,3,23,3,0,0
1004789,19,30,1994,7,"male",31,32,14,2,0,2,0,0,0
1004793,37,10,1976,4,"male",303,16,13,103,34,0,15,103,19
1004820,34,10,1979,2,"female",1133,108,77,24,13,21,4,3,9
1004836,103,22,1910,8,"female",2029,3931,1302,794,2298,94,1357,700,941
1004848,34,31,1979,12,"female",313,28,16,2,4,2,4,0,0
1004852,108,4,1905,7,"male",194,25,11,257,92,243,74,14,18
1004880,52,23,1961,7,"female",378,79,60,23,15,20,11,3,4
1004889,63,28,1950,2,"female",1109,52,13,4,11,3,3,1,8
1004919,86,9,1927,11,"female",1594,491,207,0,0,0,0,0,0
1004925,36,3,1977,6,"female",2257,172,106,278,201,265,171,13,30
1004934,16,3,1997,11,"female",278,68,33,81,17,80,10,1,7
1004946,113,1,1900,1,"female",1279,181,42,117,72,21,23,96,49
1004950,41,15,1972,11,"male",604,15,13,879,380,879,380,0,0
1004972,54,16,1959,6,"male",654,367,219,9181,4610,9181,3455,0,1155
1004974,62,23,1951,12,"male",1278,49,25,13,10,13,10,0,0
1004977,44,13,1969,11,"female",486,7,3,9,0,9,0,0,0
1004997,56,18,1957,2,"female",1634,1,0,5,0,0,0,5,0
1005039,22,26,1991,3,"male",196,49,28,0,9,0,4,0,5
1005050,36,18,1977,2,"male",390,2,2,0,0,0,0,0,0
1005052,22,20,1991,12,"female",950,1030,343,280,232,220,151,60,81
1005070,32,6,1981,7,"male",238,71,41,1,0,1,0,0,0
1005083,18,1,1995,3,"male",518,465,416,0,0,0,0,0,0
1005088,34,2,1979,7,"male",644,2441,577,626,7297,228,3618,398,3679
1005092,50,13,1963,9,"male",398,121,81,230,53,230,13,0,40
1005096,22,6,1991,12,"male",728,1088,507,490,847,116,375,374,472
1005097,14,29,1999,11,"male",242,36,20,0,0,0,0,0,0
1005121,60,17,1953,7,"female",1818,77,16,24,3,24,2,0,1
1005129,16,15,1997,11,"male",1359,98,50,0,1,0,0,0,1
1005135,101,12,1912,12,"male",83,206,190,0,7,0,5,0,2
1005148,23,3,1990,6,"female",330,119,39,15,29,15,10,0,19
1005203,39,21,1974,2,"male",313,142,104,3,2,3,2,0,0
1005258,45,5,1968,1,"female",127,22,14,15,4,15,3,0,1
1005283,30,23,1983,1,"male",306,115,82,180,36,0,8,180,28
1005313,103,1,1910,6,"male",1652,350,292,3,0,0,0,3,0
1005341,29,16,1984,3,"female",278,11,8,4,0,4,0,0,0
1005352,21,21,1992,12,"female",1462,304,136,478,130,295,51,183,79
1005357,20,1,1993,1,"female",901,33,30,50,7,50,3,0,4
1005392,59,9,1954,12,"female",63,50,36,230,116,230,76,0,40
1005419,19,23,1994,4,"male",467,258,117,4,2,1,0,3,2
1005458,17,17,1996,10,"female",543,1183,483,5,51,4,35,1,16
1005470,74,17,1939,8,"male",1050,96,44,1,4,0,2,1,2
1005481,39,30,1974,5,"male",102,4,4,17,5,17,4,0,1
1005485,49,4,1964,12,"female",783,36,31,0,1,0,1,0,0
1005487,14,14,1999,11,"male",186,64,41,3,5,3,1,0,4
1005512,37,2,1976,12,"female",400,100,43,9,66,8,29,1,37
1005522,108,10,1905,7,"male",1102,2430,1754,26,58,26,50,0,8
1005535,18,16,1995,6,"female",32,252,227,380,210,344,102,36,108
1005580,18,31,1995,3,"female",836,27,21,189,13,105,5,84,8
1005581,16,20,1997,7,"male",409,263,97,579,915,362,339,217,576
1005598,22,31,1991,1,"male",441,142,119,0,0,0,0,0,0
1005621,17,13,1996,7,"male",366,184,88,70,0,66,0,4,0
1005624,112,11,1901,9,"male",1164,22,8,30,31,23,20,7,11
1005649,34,25,1979,1,"male",324,7,4,0,0,0,0,0,0
1005655,30,19,1983,4,"female",360,44,30,0,0,0,0,0,0
1005664,22,5,1991,5,"male",369,32,3,0,2,0,0,0,2
1005671,64,16,1949,11,"male",254,282,244,612,8,612,4,0,4
1005676,52,2,1961,2,"female",688,107,94,385,117,385,103,0,14
1005681,89,19,1924,1,"male",1814,51,4,7,6,1,6,6,0
1005710,18,18,1995,3,"male",368,1629,819,488,347,488,293,0,54
1005719,38,15,1975,12,"male",262,4,4,0,1,0,0,0,1
1005793,108,19,1905,12,"male",84,107,103,2,0,2,0,0,0
1005838,25,16,1988,3,"male",687,0,0,0,0,0,0,0,0
1005843,100,1,1913,9,"male",1495,135,92,105,50,0,28,105,22
1005882,15,22,1998,5,"male",824,208,83,0,1,0,1,0,0
1005897,24,15,1989,12,"male",377,397,296,68,21,61,10,7,11
1005908,22,1,1991,1,"female",525,34,32,0,0,0,0,0,0
1005917,25,15,1988,9,"male",242,69,62,0,1,0,1,0,0
1005926,44,30,1969,7,"male",185,147,51,3434,3539,3434,3004,0,535
1005933,23,6,1990,1,"male",190,138,115,45,54,44,20,1,34
1005958,52,25,1961,1,"male",209,8,4,5,0,5,0,0,0
1005966,16,21,1997,3,"male",431,209,49,95,257,95,246,0,11
1006011,14,22,1999,10,"male",293,134,92,45,12,43,7,2,5
1006042,52,6,1961,7,"female",1543,111,42,812,669,810,351,2,318
1006087,73,26,1940,11,"male",1798,157,50,9,43,6,20,3,23
1006116,58,2,1955,10,"male",662,34,19,181,23,0,3,181,20
1006129,21,9,1992,12,"male",497,635,491,0,0,0,0,0,0
1006132,44,19,1969,5,"male",362,12,7,0,1,0,1,0,0
1006149,34,11,1979,3,"male",331,19,9,45,24,0,6,45,18
1006168,18,5,1995,5,"male",7,0,0,0,0,0,0,0,0
1006170,45,28,1968,5,"female",1174,703,287,312,667,292,500,20,167
1006180,22,18,1991,11,"male",207,108,93,12,39,12,26,0,13
1006188,23,4,1990,5,"male",437,168,156,1,4,1,3,0,1
1006214,77,13,1936,3,"female",406,21,11,4,1,0,1,4,0
1006228,100,26,1913,8,"female",2261,375,71,537,443,537,347,0,96
1006239,18,7,1995,8,"female",544,855,467,93,194,83,113,10,81
1006255,19,26,1994,12,"male",29,88,83,0,3,0,3,0,0
1006273,21,16,1992,1,"male",499,232,142,649,159,649,133,0,26
1006313,41,29,1972,8,"male",509,1083,934,113,62,112,51,1,11
1006319,19,1,1994,1,"male",435,31,29,52,1,43,0,9,1
1006324,25,5,1988,6,"female",188,386,47,0,22,0,20,0,2
1006349,26,12,1987,12,"male",22,19,15,1,0,1,0,0,0
1006403,69,21,1944,7,"male",1326,147,44,19,16,19,8,0,8
1006429,113,1,1900,1,"female",1144,124,43,188,14,0,1,188,13
1006437,102,9,1911,8,"female",1641,961,397,157,613,147,442,10,171
1006455,28,11,1985,3,"female",345,1,0,0,0,0,0,0,0
1006476,44,18,1969,9,"female",737,482,407,96,138,37,70,59,68
1006486,29,1,1984,1,"female",324,301,191,574,487,567,296,7,191
1006507,66,25,1947,11,"male",320,58,18,0,0,0,0,0,0
1006533,33,14,1980,2,"female",544,81,2,19,23,17,9,2,14
1006587,23,20,1990,6,"male",342,83,78,0,2,0,0,0,2
1006603,60,20,1953,1,"male",1625,106,34,48,6,0,1,48,5
1006623,19,10,1994,2,"female",356,329,197,1067,342,1067,272,0,70
1006632,19,14,1994,5,"male",615,33,20,2,11,2,3,0,8
1006635,15,18,1998,5,"female",563,392,224,403,388,399,254,4,134
1006641,98,1,1915,1,"female",1493,200,144,157,126,129,41,28,85
1006722,103,3,1910,12,"male",722,16,2,7,0,7,0,0,0
1006728,16,11,1997,4,"male",571,105,55,145,5,145,4,0,1
1006731,17,13,1996,3,"female",309,206,62,26,48,17,15,9,33
1006742,28,20,1985,1,"male",581,38,14,0,9,0,6,0,3
1006768,27,15,1986,4,"female",11,40,37,33,80,30,67,3,13
1006769,14,13,1999,3,"female",50,114,54,2,8,0,5,2,3
1006797,17,16,1996,9,"male",715,560,359,0,2,0,0,0,2
1006805,20,15,1993,10,"female",695,191,65,155,16,155,14,0,2
1006833,18,16,1995,10,"female",585,1077,343,989,668,953,473,36,195
1006841,60,1,1953,12,"female",2124,639,157,139,12,100,7,39,5
1006846,29,14,1984,12,"male",16,77,43,1,5,1,5,0,0
1006854,34,15,1979,12,"male",17,1,1,0,0,0,0,0,0
1006878,67,15,1946,12,"male",414,123,84,72,159,0,11,72,148
1006906,47,14,1966,7,"female",94,89,56,16,41,16,26,0,15
1006913,20,16,1993,4,"female",624,230,85,10,7,10,3,0,4
1006923,66,10,1947,7,"male",242,8,6,10,0,10,0,0,0
1006964,113,27,1900,7,"female",1662,156,13,1,6,0,1,1,5
1006972,23,12,1990,12,"male",1109,30,11,0,0,0,0,0,0
1006996,61,10,1952,3,"female",214,34,20,5,2,5,2,0,0
1007011,73,31,1940,5,"female",1654,49,10,6,4,0,0,6,4
1007013,15,8,1998,8,"female",298,183,106,105,28,105,27,0,1
1007037,50,26,1963,1,"female",148,99,86,0,0,0,0,0,0
1007051,18,19,1995,7,"female",371,66,43,5,1,1,0,4,1
1007058,32,16,1981,3,"male",446,82,53,0,0,0,0,0,0
1007078,30,14,1983,12,"male",370,65,38,20,46,14,18,6,28
1007079,46,21,1967,10,"male",665,161,107,34,91,30,75,4,16
1007094,18,16,1995,12,"female",306,129,89,15,14,11,12,4,2
1007115,60,20,1953,2,"female",1875,89,54,150,146,142,51,8,95
1007130,59,24,1954,9,"male",149,44,20,4,62,0,34,4,28
1007149,23,19,1990,10,"male",292,237,116,1,18,0,12,1,6
1007153,28,18,1985,7,"male",471,44,13,2,7,2,4,0,3
1007185,43,4,1970,8,"female",668,4,4,1,0,0,0,1,0
